ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Grammage,Unit,Link,Scraping_Date,Discount,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit
4,lidl,Pasta Sauces,Passierte Tomaten Rustica,Baresa,1.19,0.72,L,https://sortiment.lidl.ch/de/passierte-tomaten-rustica-0133251,2024-11-01,no discount,1.19,1.653,1.653
5,lidl,Pasta Sauces,Bio Tomatenmark,Baresa,1.39,0.2,Kg,https://sortiment.lidl.ch/de/bio-tomatenmark-0142043,2024-11-01,no discount,1.39,6.95,6.95
13,lidl,Pasta Sauces,Tomatensuppe,Kania,0.39,0.059,Kg,https://sortiment.lidl.ch/de/tomatensuppe-0150092,2024-11-01,no discount,0.39,6.61,6.61
14,lidl,Pasta Sauces,Passierte Tomaten,Freshona,0.95,0.5,Kg,https://sortiment.lidl.ch/de/passierte-tomaten-0029232,2024-11-01,no discount,0.95,1.9,1.9
15,lidl,Pasta Sauces,Tomatenpüree,Baresa,0.95,0.2,Kg,https://sortiment.lidl.ch/de/tomatenpueree-0028939,2024-11-01,no discount,0.95,4.75,4.75
16,lidl,Pasta Sauces,Gehackte Tomaten,Baresa,0.75,0.4,Kg,https://sortiment.lidl.ch/de/gehackte-tomaten-0029239,2024-11-01,no discount,0.75,1.875,1.875
17,lidl,Pasta Sauces,Kirschtomatensauce,Italiamo,1.49,0.33,Kg,https://sortiment.lidl.ch/de/kirschtomatensauce-6000017,2024-11-01,no discount,1.49,4.515,4.515
18,lidl,Pasta Sauces,Bio gehackte Tomaten gewürzt,Baresa,1.19,0.4,Kg,https://sortiment.lidl.ch/de/bio-gehackte-tomaten-gewuerzt-0126008,2024-11-01,no discount,1.19,2.975,2.975
19,lidl,Pasta Sauces,Tomatensauce mit Basilikum,Baresa,1.19,0.7,Kg,https://sortiment.lidl.ch/de/tomatensauce-mit-basilikum-0029251,2024-11-01,no discount,1.19,1.7,1.7
25,lidl,Pasta Sauces,Tomatenketchup hot,Kania,1.59,0.5,L,https://sortiment.lidl.ch/de/tomatenketchup-hot-0202080,2024-11-01,no discount,1.59,3.18,3.18
27,lidl,Pasta Sauces,Sauce,Kania,1.75,0.265,Kg,https://sortiment.lidl.ch/de/sauce-5102344,2024-11-01,no discount,1.75,6.604,6.604
29,lidl,Pasta Sauces,Tomatenketchup light,Kania,1.59,0.5,L,https://sortiment.lidl.ch/de/tomatenketchup-light-0192435,2024-11-01,no discount,1.59,3.18,3.18
30,lidl,Pasta Sauces,Tomatenketchup,Kania,1.59,0.5,L,https://sortiment.lidl.ch/de/tomatenketchup-0079337,2024-11-01,no discount,1.59,3.18,3.18
