ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit,Distance_average_price
85,Mirgos,Pasta Sauces,La Molisana Pastasauce Basilico,La Molisana,2.5,Kg,https://www.migros.ch//de/product/153200900000,2024-11-01,no discount,0.34,2.5,7.353,7.353,-50.55%
86,Mirgos,Pasta Sauces,Agnesi Pesto Rosso,Agnesi,5.55,Kg,https://www.migros.ch//de/product/153226400000,2024-11-01,no discount,2.185,5.55,2.54,2.54,-82.92%
87,Mirgos,Pasta Sauces,M-Budget Mix Bolognese,M-Budget,0.65,Kg,https://www.migros.ch//de/product/106501000000,2024-11-01,no discount,0.05,0.65,13.0,13.0,-12.57%
88,Mirgos,Pasta Sauces,Sugo al Basilico,Sugo,3.1,Kg,https://www.migros.ch//de/product/153220600000,2024-11-01,no discount,0.35,3.1,8.857,8.857,-40.43%
89,Mirgos,Pasta Sauces,Sugo Basilico,Sugo,4.8,Kg,https://www.migros.ch//de/product/153252100000,2024-11-01,no discount,0.28,4.8,17.143,17.143,15.3%
90,Mirgos,Pasta Sauces,Aus der Region Bärlauchpüree,Aus der Region,7.1,Kg,https://www.migros.ch//de/product/153261000000,2024-11-01,no discount,0.095,7.1,74.737,74.737,402.65%
91,Mirgos,Pasta Sauces,Sugo alla Carne,Sugo,3.9,Kg,https://www.migros.ch//de/product/153220900000,2024-11-01,no discount,0.35,3.9,11.143,11.143,-25.06%
92,Mirgos,Pasta Sauces,Sugo Rustico,Sugo,4.8,Kg,https://www.migros.ch//de/product/153252000000,2024-11-01,no discount,0.28,4.8,17.143,17.143,15.3%
93,Mirgos,Pasta Sauces,Pesto genovese senza aglio,Pesto,4.4,Kg,https://www.migros.ch//de/product/130602900000,2024-11-01,no discount,0.09,4.4,48.889,48.889,228.81%
94,Mirgos,Pasta Sauces,Pesto genovese con aglio,Pesto,4.4,Kg,https://www.migros.ch//de/product/130602800000,2024-11-01,no discount,0.09,4.4,48.889,48.889,228.81%
95,Mirgos,Pasta Sauces,Star Ragù funghi porcini,Star,4.5,Kg,https://www.migros.ch//de/product/153240100000,2024-11-01,no discount,2.18,4.5,2.064,2.064,-86.12%
96,Mirgos,Pasta Sauces,Pesto Carc/Prezzem,Pesto,2.1,Kg,https://www.migros.ch//de/product/153226600000,2024-11-01,20.0%,0.12,1.68,17.5,14.0,17.7%
